"Estado","Variável","Mês","Valor","Região","População"
"Acre","Pessoa Desaparecida",2019-01-01,6,"Norte",830018
"Acre","Pessoa Desaparecida",2019-02-01,3,"Norte",830018
"Acre","Pessoa Desaparecida",2019-03-01,6,"Norte",830018
"Acre","Pessoa Desaparecida",2019-04-01,8,"Norte",830018
"Acre","Pessoa Desaparecida",2019-05-01,28,"Norte",830018
"Acre","Pessoa Desaparecida",2019-06-01,24,"Norte",830018
"Acre","Pessoa Desaparecida",2019-07-01,24,"Norte",830018
"Acre","Pessoa Desaparecida",2019-08-01,31,"Norte",830018
"Acre","Pessoa Desaparecida",2019-09-01,18,"Norte",830018
"Acre","Pessoa Desaparecida",2019-10-01,16,"Norte",830018
"Acre","Pessoa Desaparecida",2019-11-01,22,"Norte",830018
"Acre","Pessoa Desaparecida",2019-12-01,22,"Norte",830018
"Acre","Pessoa Desaparecida",2020-01-01,25,"Norte",830018
"Acre","Pessoa Desaparecida",2020-02-01,24,"Norte",830018
"Acre","Pessoa Desaparecida",2020-03-01,14,"Norte",830018
"Acre","Pessoa Desaparecida",2020-04-01,13,"Norte",830018
"Acre","Pessoa Desaparecida",2020-05-01,13,"Norte",830018
"Acre","Pessoa Desaparecida",2020-06-01,16,"Norte",830018
"Acre","Pessoa Desaparecida",2020-07-01,15,"Norte",830018
"Acre","Pessoa Desaparecida",2020-08-01,13,"Norte",830018
"Acre","Pessoa Desaparecida",2020-09-01,10,"Norte",830018
"Acre","Pessoa Desaparecida",2020-10-01,19,"Norte",830018
"Acre","Pessoa Desaparecida",2020-11-01,18,"Norte",830018
"Acre","Pessoa Desaparecida",2020-12-01,16,"Norte",830018
"Acre","Pessoa Desaparecida",2021-01-01,21,"Norte",830018
"Acre","Pessoa Desaparecida",2021-02-01,12,"Norte",830018
"Acre","Pessoa Desaparecida",2021-03-01,18,"Norte",830018
"Acre","Pessoa Desaparecida",2021-04-01,14,"Norte",830018
"Acre","Pessoa Desaparecida",2021-05-01,18,"Norte",830018
"Acre","Pessoa Desaparecida",2021-06-01,14,"Norte",830018
"Acre","Pessoa Desaparecida",2021-07-01,6,"Norte",830018
"Acre","Pessoa Desaparecida",2021-08-01,9,"Norte",830018
"Acre","Pessoa Desaparecida",2021-09-01,15,"Norte",830018
"Acre","Pessoa Desaparecida",2021-10-01,18,"Norte",830018
"Acre","Pessoa Desaparecida",2021-11-01,31,"Norte",830018
"Acre","Pessoa Desaparecida",2021-12-01,33,"Norte",830018
"Acre","Pessoa Desaparecida",2022-01-01,20,"Norte",830018
"Acre","Pessoa Desaparecida",2022-02-01,15,"Norte",830018
"Acre","Pessoa Desaparecida",2022-03-01,18,"Norte",830018
"Acre","Pessoa Desaparecida",2022-04-01,25,"Norte",830018
"Acre","Pessoa Desaparecida",2022-05-01,29,"Norte",830018
"Acre","Pessoa Desaparecida",2022-06-01,24,"Norte",830018
"Acre","Pessoa Desaparecida",2022-07-01,18,"Norte",830018
"Acre","Pessoa Desaparecida",2022-08-01,14,"Norte",830018
"Acre","Pessoa Desaparecida",2022-09-01,27,"Norte",830018
"Acre","Pessoa Desaparecida",2022-10-01,29,"Norte",830018
"Acre","Pessoa Desaparecida",2022-11-01,27,"Norte",830018
"Acre","Pessoa Desaparecida",2022-12-01,39,"Norte",830018
"Acre","Pessoa Desaparecida",2023-01-01,36,"Norte",830018
"Acre","Pessoa Desaparecida",2023-02-01,23,"Norte",830018
"Acre","Pessoa Desaparecida",2023-03-01,22,"Norte",830018
"Acre","Pessoa Desaparecida",2023-04-01,29,"Norte",830018
"Acre","Pessoa Desaparecida",2023-05-01,27,"Norte",830018
"Acre","Pessoa Desaparecida",2023-06-01,25,"Norte",830018
"Acre","Pessoa Desaparecida",2023-07-01,36,"Norte",830018
"Acre","Pessoa Desaparecida",2023-08-01,42,"Norte",830018
"Acre","Pessoa Desaparecida",2023-09-01,32,"Norte",830018
"Acre","Pessoa Desaparecida",2023-10-01,38,"Norte",830018
"Acre","Pessoa Desaparecida",2023-11-01,20,"Norte",830018
"Acre","Pessoa Desaparecida",2023-12-01,38,"Norte",830018
"Acre","Pessoa Desaparecida",2024-01-01,30,"Norte",830018
"Acre","Pessoa Desaparecida",2024-02-01,27,"Norte",830018
"Acre","Pessoa Desaparecida",2024-03-01,21,"Norte",830018
"Acre","Pessoa Localizada",2019-01-01,1,"Norte",830018
"Acre","Pessoa Localizada",2019-02-01,0,"Norte",830018
"Acre","Pessoa Localizada",2019-03-01,0,"Norte",830018
"Acre","Pessoa Localizada",2019-04-01,2,"Norte",830018
"Acre","Pessoa Localizada",2019-05-01,3,"Norte",830018
"Acre","Pessoa Localizada",2019-06-01,2,"Norte",830018
"Acre","Pessoa Localizada",2019-07-01,3,"Norte",830018
"Acre","Pessoa Localizada",2019-08-01,1,"Norte",830018
"Acre","Pessoa Localizada",2019-09-01,1,"Norte",830018
"Acre","Pessoa Localizada",2019-10-01,4,"Norte",830018
"Acre","Pessoa Localizada",2019-11-01,3,"Norte",830018
"Acre","Pessoa Localizada",2019-12-01,3,"Norte",830018
"Acre","Pessoa Localizada",2020-01-01,7,"Norte",830018
"Acre","Pessoa Localizada",2020-02-01,11,"Norte",830018
"Acre","Pessoa Localizada",2020-03-01,0,"Norte",830018
"Acre","Pessoa Localizada",2020-04-01,3,"Norte",830018
"Acre","Pessoa Localizada",2020-05-01,2,"Norte",830018
"Acre","Pessoa Localizada",2020-06-01,2,"Norte",830018
"Acre","Pessoa Localizada",2020-07-01,1,"Norte",830018
"Acre","Pessoa Localizada",2020-08-01,1,"Norte",830018
"Acre","Pessoa Localizada",2020-09-01,3,"Norte",830018
"Acre","Pessoa Localizada",2020-10-01,0,"Norte",830018
"Acre","Pessoa Localizada",2020-11-01,2,"Norte",830018
"Acre","Pessoa Localizada",2020-12-01,2,"Norte",830018
"Acre","Pessoa Localizada",2021-01-01,0,"Norte",830018
"Acre","Pessoa Localizada",2021-02-01,0,"Norte",830018
"Acre","Pessoa Localizada",2021-03-01,0,"Norte",830018
"Acre","Pessoa Localizada",2021-04-01,0,"Norte",830018
