"Estado","Variável","Mês","Valor","Região"
"Acre","Mandado de prisão cumprido",2019-01-01,170,"Norte"
"Acre","Mandado de prisão cumprido",2019-02-01,215,"Norte"
"Acre","Mandado de prisão cumprido",2019-03-01,135,"Norte"
"Acre","Mandado de prisão cumprido",2019-04-01,180,"Norte"
"Acre","Mandado de prisão cumprido",2019-05-01,157,"Norte"
"Acre","Mandado de prisão cumprido",2019-06-01,135,"Norte"
"Acre","Mandado de prisão cumprido",2019-07-01,143,"Norte"
"Acre","Mandado de prisão cumprido",2019-08-01,143,"Norte"
"Acre","Mandado de prisão cumprido",2019-09-01,152,"Norte"
"Acre","Mandado de prisão cumprido",2019-10-01,111,"Norte"
"Acre","Mandado de prisão cumprido",2019-11-01,80,"Norte"
"Acre","Mandado de prisão cumprido",2019-12-01,192,"Norte"
"Acre","Mandado de prisão cumprido",2020-01-01,212,"Norte"
"Acre","Mandado de prisão cumprido",2020-02-01,103,"Norte"
"Acre","Mandado de prisão cumprido",2020-03-01,91,"Norte"
"Acre","Mandado de prisão cumprido",2020-04-01,44,"Norte"
"Acre","Mandado de prisão cumprido",2020-05-01,81,"Norte"
"Acre","Mandado de prisão cumprido",2020-06-01,131,"Norte"
"Acre","Mandado de prisão cumprido",2020-07-01,108,"Norte"
"Acre","Mandado de prisão cumprido",2020-08-01,70,"Norte"
"Acre","Mandado de prisão cumprido",2020-09-01,94,"Norte"
"Acre","Mandado de prisão cumprido",2020-10-01,87,"Norte"
"Acre","Mandado de prisão cumprido",2020-11-01,79,"Norte"
"Acre","Mandado de prisão cumprido",2020-12-01,233,"Norte"
"Acre","Mandado de prisão cumprido",2021-01-01,137,"Norte"
"Acre","Mandado de prisão cumprido",2021-02-01,165,"Norte"
"Acre","Mandado de prisão cumprido",2021-03-01,185,"Norte"
"Acre","Mandado de prisão cumprido",2021-04-01,166,"Norte"
"Acre","Mandado de prisão cumprido",2021-05-01,191,"Norte"
"Acre","Mandado de prisão cumprido",2021-06-01,192,"Norte"
"Acre","Mandado de prisão cumprido",2021-07-01,124,"Norte"
"Acre","Mandado de prisão cumprido",2021-08-01,111,"Norte"
"Acre","Mandado de prisão cumprido",2021-09-01,188,"Norte"
"Acre","Mandado de prisão cumprido",2021-10-01,146,"Norte"
"Acre","Mandado de prisão cumprido",2021-11-01,169,"Norte"
"Acre","Mandado de prisão cumprido",2021-12-01,109,"Norte"
"Acre","Mandado de prisão cumprido",2022-01-01,117,"Norte"
"Acre","Mandado de prisão cumprido",2022-02-01,126,"Norte"
"Acre","Mandado de prisão cumprido",2022-03-01,121,"Norte"
"Acre","Mandado de prisão cumprido",2022-04-01,131,"Norte"
"Acre","Mandado de prisão cumprido",2022-05-01,123,"Norte"
"Acre","Mandado de prisão cumprido",2022-06-01,148,"Norte"
"Acre","Mandado de prisão cumprido",2022-07-01,119,"Norte"
"Acre","Mandado de prisão cumprido",2022-08-01,76,"Norte"
"Acre","Mandado de prisão cumprido",2022-09-01,86,"Norte"
"Acre","Mandado de prisão cumprido",2022-10-01,88,"Norte"
"Acre","Mandado de prisão cumprido",2022-11-01,105,"Norte"
"Acre","Mandado de prisão cumprido",2022-12-01,90,"Norte"
"Acre","Mandado de prisão cumprido",2023-01-01,112,"Norte"
"Acre","Mandado de prisão cumprido",2023-02-01,83,"Norte"
"Acre","Mandado de prisão cumprido",2023-03-01,148,"Norte"
