"Estado","Variável","Mês","Valor","Região"
"Acre","Arma de Fogo Apreendida",2019-01-01,8,"Norte"
"Acre","Arma de Fogo Apreendida",2019-02-01,11,"Norte"
"Acre","Arma de Fogo Apreendida",2019-03-01,7,"Norte"
"Acre","Arma de Fogo Apreendida",2019-04-01,7,"Norte"
"Acre","Arma de Fogo Apreendida",2019-05-01,12,"Norte"
"Acre","Arma de Fogo Apreendida",2019-06-01,9,"Norte"
"Acre","Arma de Fogo Apreendida",2019-07-01,14,"Norte"
"Acre","Arma de Fogo Apreendida",2019-08-01,9,"Norte"
"Acre","Arma de Fogo Apreendida",2019-09-01,18,"Norte"
"Acre","Arma de Fogo Apreendida",2019-10-01,10,"Norte"
"Acre","Arma de Fogo Apreendida",2019-11-01,9,"Norte"
"Acre","Arma de Fogo Apreendida",2019-12-01,12,"Norte"
"Acre","Arma de Fogo Apreendida",2020-01-01,4,"Norte"
"Acre","Arma de Fogo Apreendida",2020-02-01,12,"Norte"
"Acre","Arma de Fogo Apreendida",2020-03-01,6,"Norte"
"Acre","Arma de Fogo Apreendida",2020-04-01,15,"Norte"
"Acre","Arma de Fogo Apreendida",2020-05-01,12,"Norte"
"Acre","Arma de Fogo Apreendida",2020-06-01,6,"Norte"
"Acre","Arma de Fogo Apreendida",2020-07-01,24,"Norte"
"Acre","Arma de Fogo Apreendida",2020-08-01,18,"Norte"
"Acre","Arma de Fogo Apreendida",2020-09-01,9,"Norte"
"Acre","Arma de Fogo Apreendida",2020-10-01,7,"Norte"
"Acre","Arma de Fogo Apreendida",2020-11-01,34,"Norte"
"Acre","Arma de Fogo Apreendida",2020-12-01,19,"Norte"
"Acre","Arma de Fogo Apreendida",2021-01-01,360,"Norte"
"Acre","Arma de Fogo Apreendida",2021-02-01,11,"Norte"
"Acre","Arma de Fogo Apreendida",2021-03-01,21,"Norte"
"Acre","Arma de Fogo Apreendida",2021-04-01,33,"Norte"
"Acre","Arma de Fogo Apreendida",2021-05-01,29,"Norte"
"Acre","Arma de Fogo Apreendida",2021-06-01,40,"Norte"
"Acre","Arma de Fogo Apreendida",2021-07-01,21,"Norte"
"Acre","Arma de Fogo Apreendida",2021-08-01,34,"Norte"
"Acre","Arma de Fogo Apreendida",2021-09-01,30,"Norte"
"Acre","Arma de Fogo Apreendida",2021-10-01,26,"Norte"
"Acre","Arma de Fogo Apreendida",2021-11-01,30,"Norte"
"Acre","Arma de Fogo Apreendida",2021-12-01,32,"Norte"
"Acre","Arma de Fogo Apreendida",2022-01-01,32,"Norte"
"Acre","Arma de Fogo Apreendida",2022-02-01,43,"Norte"
"Acre","Arma de Fogo Apreendida",2022-03-01,35,"Norte"
"Acre","Arma de Fogo Apreendida",2022-04-01,52,"Norte"
"Acre","Arma de Fogo Apreendida",2022-05-01,20,"Norte"
"Acre","Arma de Fogo Apreendida",2022-06-01,53,"Norte"
"Acre","Arma de Fogo Apreendida",2022-07-01,52,"Norte"
"Acre","Arma de Fogo Apreendida",2022-08-01,44,"Norte"
"Acre","Arma de Fogo Apreendida",2022-09-01,39,"Norte"
"Acre","Arma de Fogo Apreendida",2022-10-01,57,"Norte"
"Acre","Arma de Fogo Apreendida",2022-11-01,73,"Norte"
"Acre","Arma de Fogo Apreendida",2022-12-01,79,"Norte"
"Acre","Arma de Fogo Apreendida",2023-01-01,49,"Norte"
"Acre","Arma de Fogo Apreendida",2023-02-01,56,"Norte"
"Acre","Arma de Fogo Apreendida",2023-03-01,49,"Norte"
"Acre","Arma de Fogo Apreendida",2023-04-01,65,"Norte"
"Acre","Arma de Fogo Apreendida",2023-05-01,55,"Norte"
"Acre","Arma de Fogo Apreendida",2023-06-01,51,"Norte"
"Acre","Arma de Fogo Apreendida",2023-07-01,51,"Norte"
"Acre","Arma de Fogo Apreendida",2023-08-01,59,"Norte"
"Acre","Arma de Fogo Apreendida",2023-09-01,47,"Norte"
"Acre","Arma de Fogo Apreendida",2023-10-01,52,"Norte"
"Acre","Arma de Fogo Apreendida",2023-11-01,49,"Norte"
"Acre","Arma de Fogo Apreendida",2023-12-01,41,"Norte"
"Acre","Arma de Fogo Apreendida",2024-01-01,64,"Norte"
"Acre","Arma de Fogo Apreendida",2024-02-01,45,"Norte"
"Acre","Arma de Fogo Apreendida",2024-03-01,50,"Norte"
"Alagoas","Arma de Fogo Apreendida",2019-01-01,164,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-02-01,148,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-03-01,138,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-04-01,199,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-05-01,163,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-06-01,139,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-07-01,130,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-08-01,128,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-09-01,145,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-10-01,183,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-11-01,183,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2019-12-01,196,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-01-01,140,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-02-01,135,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-03-01,115,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-04-01,162,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-05-01,155,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-06-01,146,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-07-01,156,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-08-01,162,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-09-01,179,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-10-01,158,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-11-01,143,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2020-12-01,183,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-01-01,196,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-02-01,179,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-03-01,173,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-04-01,171,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-05-01,165,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-06-01,140,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-07-01,175,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-08-01,120,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-09-01,126,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-10-01,128,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-11-01,162,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2021-12-01,134,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-01-01,114,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-02-01,141,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-03-01,145,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-04-01,138,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-05-01,141,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-06-01,91,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-07-01,135,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-08-01,146,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-09-01,79,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-10-01,113,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-11-01,156,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2022-12-01,127,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2023-01-01,160,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2023-02-01,125,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2023-03-01,124,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2023-04-01,117,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2023-05-01,106,"Nordeste"
"Alagoas","Arma de Fogo Apreendida",2023-06-01,113,"Nordeste"
