"Estado","Variável","Mês","Valor","Região"
"Acre","Atendimento pré-hospitalar",2019-01-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-02-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-03-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-04-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-05-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-06-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-07-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-08-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-09-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-10-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-11-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2019-12-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-01-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-02-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-03-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-04-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-05-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-06-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-07-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-08-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-09-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-10-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-11-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2020-12-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-01-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-02-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-03-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-04-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-05-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-06-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-07-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-08-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-09-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-10-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-11-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2021-12-01,0,"Norte"
"Acre","Atendimento pré-hospitalar",2022-01-01,53,"Norte"
"Acre","Atendimento pré-hospitalar",2022-02-01,45,"Norte"
"Acre","Atendimento pré-hospitalar",2022-03-01,40,"Norte"
"Acre","Atendimento pré-hospitalar",2022-04-01,38,"Norte"
"Acre","Atendimento pré-hospitalar",2022-05-01,38,"Norte"
"Acre","Atendimento pré-hospitalar",2022-06-01,40,"Norte"
"Acre","Atendimento pré-hospitalar",2022-07-01,51,"Norte"
"Acre","Atendimento pré-hospitalar",2022-08-01,42,"Norte"
"Acre","Atendimento pré-hospitalar",2022-09-01,51,"Norte"
"Acre","Atendimento pré-hospitalar",2022-10-01,59,"Norte"
"Acre","Atendimento pré-hospitalar",2022-11-01,64,"Norte"
"Acre","Atendimento pré-hospitalar",2022-12-01,62,"Norte"
"Acre","Atendimento pré-hospitalar",2023-01-01,24,"Norte"
"Acre","Atendimento pré-hospitalar",2023-02-01,24,"Norte"
"Acre","Atendimento pré-hospitalar",2023-03-01,22,"Norte"
"Acre","Atendimento pré-hospitalar",2023-04-01,24,"Norte"
"Acre","Atendimento pré-hospitalar",2023-05-01,32,"Norte"
"Acre","Atendimento pré-hospitalar",2023-06-01,132,"Norte"
"Acre","Atendimento pré-hospitalar",2023-07-01,44,"Norte"
"Acre","Atendimento pré-hospitalar",2023-08-01,106,"Norte"
"Acre","Atendimento pré-hospitalar",2023-09-01,115,"Norte"
"Acre","Atendimento pré-hospitalar",2023-10-01,162,"Norte"
"Acre","Atendimento pré-hospitalar",2023-11-01,174,"Norte"
"Acre","Atendimento pré-hospitalar",2023-12-01,61,"Norte"
"Acre","Atendimento pré-hospitalar",2024-01-01,47,"Norte"
"Acre","Atendimento pré-hospitalar",2024-02-01,34,"Norte"
"Acre","Atendimento pré-hospitalar",2024-03-01,84,"Norte"
"Acre","Busca e salvamento",2019-01-01,0,"Norte"
"Acre","Busca e salvamento",2019-02-01,0,"Norte"
"Acre","Busca e salvamento",2019-03-01,0,"Norte"
