"Estado","Variável","Mês","Valor","Região"
"Acre","Furto de veículo",2019-01-01,113,"Norte"
"Acre","Furto de veículo",2019-02-01,143,"Norte"
"Acre","Furto de veículo",2019-03-01,136,"Norte"
"Acre","Furto de veículo",2019-04-01,175,"Norte"
"Acre","Furto de veículo",2019-05-01,165,"Norte"
"Acre","Furto de veículo",2019-06-01,180,"Norte"
"Acre","Furto de veículo",2019-07-01,194,"Norte"
"Acre","Furto de veículo",2019-08-01,151,"Norte"
"Acre","Furto de veículo",2019-09-01,179,"Norte"
"Acre","Furto de veículo",2019-10-01,195,"Norte"
"Acre","Furto de veículo",2019-11-01,178,"Norte"
"Acre","Furto de veículo",2019-12-01,129,"Norte"
"Acre","Furto de veículo",2020-01-01,107,"Norte"
"Acre","Furto de veículo",2020-02-01,111,"Norte"
"Acre","Furto de veículo",2020-03-01,126,"Norte"
"Acre","Furto de veículo",2020-04-01,74,"Norte"
"Acre","Furto de veículo",2020-05-01,78,"Norte"
"Acre","Furto de veículo",2020-06-01,12,"Norte"
"Acre","Furto de veículo",2020-07-01,23,"Norte"
"Acre","Furto de veículo",2020-08-01,42,"Norte"
"Acre","Furto de veículo",2020-09-01,42,"Norte"
"Acre","Furto de veículo",2020-10-01,42,"Norte"
"Acre","Furto de veículo",2020-11-01,43,"Norte"
"Acre","Furto de veículo",2020-12-01,52,"Norte"
"Acre","Furto de veículo",2021-01-01,58,"Norte"
"Acre","Furto de veículo",2021-02-01,46,"Norte"
"Acre","Furto de veículo",2021-03-01,46,"Norte"
"Acre","Furto de veículo",2021-04-01,59,"Norte"
"Acre","Furto de veículo",2021-05-01,48,"Norte"
"Acre","Furto de veículo",2021-06-01,40,"Norte"
"Acre","Furto de veículo",2021-07-01,55,"Norte"
"Acre","Furto de veículo",2021-08-01,53,"Norte"
"Acre","Furto de veículo",2021-09-01,53,"Norte"
"Acre","Furto de veículo",2021-10-01,53,"Norte"
"Acre","Furto de veículo",2021-11-01,50,"Norte"
"Acre","Furto de veículo",2021-12-01,38,"Norte"
"Acre","Furto de veículo",2022-01-01,70,"Norte"
"Acre","Furto de veículo",2022-02-01,58,"Norte"
"Acre","Furto de veículo",2022-03-01,44,"Norte"
"Acre","Furto de veículo",2022-04-01,51,"Norte"
"Acre","Furto de veículo",2022-05-01,25,"Norte"
"Acre","Furto de veículo",2022-06-01,42,"Norte"
"Acre","Furto de veículo",2022-07-01,40,"Norte"
"Acre","Furto de veículo",2022-08-01,33,"Norte"
"Acre","Furto de veículo",2022-09-01,33,"Norte"
"Acre","Furto de veículo",2022-10-01,40,"Norte"
"Acre","Furto de veículo",2022-11-01,39,"Norte"
"Acre","Furto de veículo",2022-12-01,47,"Norte"
"Acre","Furto de veículo",2023-01-01,57,"Norte"
"Acre","Furto de veículo",2023-02-01,56,"Norte"
"Acre","Furto de veículo",2023-03-01,62,"Norte"
"Acre","Furto de veículo",2023-04-01,48,"Norte"
"Acre","Furto de veículo",2023-05-01,47,"Norte"
"Acre","Furto de veículo",2023-06-01,43,"Norte"
"Acre","Furto de veículo",2023-07-01,54,"Norte"
"Acre","Furto de veículo",2023-08-01,65,"Norte"
"Acre","Furto de veículo",2023-09-01,54,"Norte"
"Acre","Furto de veículo",2023-10-01,69,"Norte"
"Acre","Furto de veículo",2023-11-01,54,"Norte"
"Acre","Furto de veículo",2023-12-01,63,"Norte"
"Acre","Furto de veículo",2024-01-01,49,"Norte"
"Acre","Furto de veículo",2024-02-01,47,"Norte"
"Acre","Furto de veículo",2024-03-01,44,"Norte"
